City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
206,Kavaratti,IN,10.5669,72.642,81.14,68,6,11.27,clear sky
207,Saskylakh,RU,71.9167,114.0833,-7.98,96,95,4.05,overcast clouds
208,Paita,PE,-5.0892,-81.1144,72.0,85,93,7.18,overcast clouds
209,Srandakan,ID,-7.9386,110.2506,82.89,74,76,3.89,broken clouds
210,Yarada,IN,17.65,83.2667,71.92,88,20,2.3,mist
211,Taitung,TW,22.7583,121.1444,59.27,77,75,9.22,broken clouds
212,Havre-Saint-Pierre,CA,50.2334,-63.5986,12.2,78,100,4.61,overcast clouds
213,Vao,NC,-22.6667,167.4833,80.17,79,6,8.19,clear sky
214,Carutapera,BR,-1.195,-46.02,76.93,88,100,6.8,overcast clouds
215,Tutoia,BR,-2.7619,-42.2744,78.78,90,76,7.87,broken clouds
216,Nemuro,JP,43.3236,145.575,25.23,83,100,42.26,light snow
217,Takoradi,GH,4.8845,-1.7554,79.14,88,100,6.8,overcast clouds
218,Gorontalo,ID,0.5412,123.0595,75.88,95,100,4.45,light rain
219,Kurilsk,RU,45.2333,147.8833,29.53,92,99,18.25,light snow
220,Santiago,CL,-33.4569,-70.6483,69.85,48,0,9.22,clear sky
221,Batagay,RU,67.6333,134.6333,-27.38,89,62,2.95,broken clouds
222,El Banco,CO,9.0011,-73.9758,79.39,46,63,2.26,broken clouds
223,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,73.09,77,7,5.37,clear sky
224,Krasnovishersk,RU,60.4078,57.082,27.12,97,100,6.87,light snow
225,Karratha,AU,-20.7377,116.8463,99.52,24,4,8.93,clear sky
226,Ancud,CL,-41.8697,-73.8203,58.53,84,77,7.63,broken clouds
227,Christchurch,NZ,-43.5333,172.6333,68.32,66,0,24.16,clear sky
228,Tatawin,TN,32.9297,10.4518,51.71,86,6,6.15,clear sky
229,College,US,64.8569,-147.8028,10.8,72,75,4.61,broken clouds
230,Buenavista,PH,8.9769,125.4089,82.13,66,100,2.13,overcast clouds
231,Ambilobe,MG,-13.2,49.05,74.39,93,100,3.62,overcast clouds
